"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Christian McCaffrey (SF)","1","20","106","5.3","65","3.3","41","2.1","0","1","-2","18","5","0","0","0","0","18","7","8","3","3"
"2","David Montgomery (DET)","1","32","121","3.8","77","2.4","44","1.4","6","2","-6","3","3","0","0","0","0","16","2","2","0","2"
"3","Kyren Williams (LAR)","1","25","103","4.1","73","2.9","30","1.2","0","2","-2","3","2","1","0","0","0","20","3","3","0","3"
"4","De'Von Achane (MIA)","1","8","101","12.6","35","4.4","66","8.3","4","0","0","10","3","1","1","1","1","55","3","5","2","7"
"5","Derrick Henry (TEN)","1","22","122","5.5","59","2.7","63","2.9","1","1","-1","29","4","1","0","0","0","29","1","1","0","4"
"6","Isiah Pacheco (KC)","1","20","115","5.8","94","4.7","21","1.1","4","3","-8","48","4","1","1","1","0","48","3","3","0","0"
"7","Josh Jacobs (LV)","1","17","58","3.4","40","2.4","18","1.1","0","3","-5","1","0","0","0","0","0","9","8","11","2","22"
"8","Khalil Herbert (CHI)","1","18","103","5.7","71","3.9","32","1.8","0","0","0","0","2","2","0","0","0","24","4","5","1","0"
"9","Jaleel McLaughlin (DEN)","1","7","72","10.3","18","2.6","54","7.7","0","1","-1","0","3","1","1","0","0","31","3","3","1","14"
"10","D'Andre Swift (PHI)","1","14","56","4.0","31","2.2","25","1.8","2","1","-1","5","0","0","0","0","0","8","4","4","1","15"
"11","Kenneth Walker III (SEA)","1","17","79","4.6","23","1.4","56","3.3","0","3","-7","1","2","1","1","0","0","31","0","0","0","0"
"12","James Cook (BUF)","1","12","29","2.4","14","1.2","15","1.3","0","3","-8","1","0","0","0","0","0","8","1","1","0","21"
"13","Bijan Robinson (ATL)","1","14","105","7.5","95","6.8","10","0.7","0","1","-1","0","3","2","1","0","0","38","5","5","0","6"
