"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Jacobs (LV)","33","229","6.9","86","6","2","6","7","74","12.3","0","0","1","42.3","42.3","99.0%"
"2","Miles Sanders (CAR)","21","143","6.8","28","2","2","3","3","17","5.7","0","0","1","28.0","28.0","47.5%"
"3","Nick Chubb (CLE)","26","116","4.5","28","1","1","1","1","16","16.0","0","0","1","19.2","19.2","22.1%"
"4","Brian Robinson Jr. (WAS)","18","105","5.8","21","1","0","2","3","20","10.0","1","0","1","18.5","18.5","86.5%"
"5","James Conner (ARI)","25","120","4.8","20","1","0","3","3","20","6.7","1","1","1","18.0","18.0","90.8%"
"6","Aaron Jones (GB)","12","43","3.6","10","0","0","3","4","56","18.7","1","0","1","15.9","15.9","92.7%"
"7","Kenneth Walker III (SEA)","14","26","1.9","14","0","2","1","1","13","13.0","0","0","1","15.9","15.9","96.4%"
"8","Jonathan Taylor (IND)","20","86","4.3","13","0","1","3","4","12","4.0","0","0","1","15.8","15.8","94.5%"
"9","Ezekiel Elliott (NE)","16","92","5.8","22","1","1","1","1","3","3.0","0","0","1","15.5","15.5","81.3%"
"10","JaMycal Hasty (NE)","12","28","2.3","13","0","0","5","5","67","13.4","1","0","1","15.5","15.5","0.1%"
"11","Samaje Perine (DEN)","17","58","3.4","9","0","1","4","7","35","8.8","0","0","1","15.3","15.3","28.2%"
"12","AJ Dillon (GB)","8","64","8.0","20","1","1","3","4","24","8.0","0","0","1","14.8","14.8","67.0%"
"13","Isiah Pacheco (KC)","22","69","3.1","9","0","1","1","1","17","17.0","0","0","1","14.6","14.6","95.6%"
"14","Austin Ekeler (LAC)","5","20","4.0","9","0","0","11","15","60","5.5","1","0","1","14.0","14.0","100.0%"
"15","Ty Johnson (BUF)","5","62","12.4","32","2","1","1","2","16","16.0","0","0","1","13.8","13.8","0.1%"
"16","Benny Snell Jr. (FA)","12","62","5.2","16","0","1","1","1","6","6.0","0","0","1","12.8","12.8","0.0%"
"17","Derrick Henry (TEN)","17","38","2.2","9","0","0","3","3","79","26.3","0","0","1","11.7","11.7","99.8%"
"18","Ameer Abdullah (LV)","3","16","5.3","7","0","0","3","3","39","13.0","1","0","1","11.5","11.5","1.1%"
"19","Travis Homer (CHI)","2","8","4.0","4","0","0","2","3","45","22.5","1","0","1","11.3","11.3","0.1%"
"20","David Montgomery (DET)","14","79","5.6","14","0","0","3","4","34","11.3","0","0","1","11.3","11.3","96.0%"
"21","D'Onta Foreman (CHI)","24","113","4.7","18","0","0","0","0","0","0","0","0","1","11.3","11.3","41.0%"
"22","Rhamondre Stevenson (NE)","7","36","5.1","14","0","0","9","10","76","8.4","0","0","1","11.2","11.2","89.5%"
"23","Saquon Barkley (NYG)","11","39","3.5","10","0","1","4","6","13","3.3","0","0","1","11.2","11.2","100.0%"
"24","Jeff Wilson Jr. (MIA)","13","39","3.0","9","0","1","1","3","13","13.0","0","0","1","11.2","11.2","12.7%"
"25","Rachaad White (TB)","14","64","4.6","35","2","0","9","9","45","5.0","0","0","1","10.9","10.9","96.2%"
"26","Jamaal Williams (NO)","18","66","3.7","27","1","1","0","0","0","0","0","1","1","10.6","10.6","17.5%"
"27","Kenneth Gainwell (PHI)","8","39","4.9","10","0","1","1","1","7","7.0","0","0","1","10.6","10.6","21.6%"
"28","Zonovan Knight (DET)","14","69","4.9","19","0","0","3","3","34","11.3","0","0","1","10.3","10.3","0.3%"
"29","Najee Harris (PIT)","10","35","3.5","8","0","1","1","1","4","4.0","0","0","1","9.9","9.9","92.9%"
"30","Latavius Murray (BUF)","13","92","7.1","52","4","0","1","1","6","6.0","0","0","1","9.8","9.8","15.2%"
"31","Gus Edwards (BAL)","16","52","3.3","16","0","1","0","1","0","0","0","1","1","9.2","9.2","76.2%"
"32","Devin Singletary (HOU)","14","72","5.1","19","0","0","1","1","8","8.0","0","0","1","8.0","8.0","73.8%"
"33","Dare Ogunbowale (HOU)","4","14","3.5","9","0","1","1","2","6","6.0","0","0","1","8.0","8.0","0.1%"
"34","Cordarrelle Patterson (ATL)","11","52","4.7","21","1","0","3","5","19","6.3","0","0","1","7.1","7.1","2.0%"
"35","Darrynton Evans (MIA)","9","34","3.8","8","0","0","1","1","33","33.0","0","0","1","6.7","6.7","0.1%"
"36","Chuba Hubbard (CAR)","17","65","3.8","12","0","0","0","0","0","0","0","0","1","6.5","6.5","74.8%"
"37","D'Andre Swift (PHI)","5","19","3.8","7","0","0","4","8","24","6.0","0","0","1","6.3","6.3","96.8%"
"38","Tony Pollard (DAL)","18","60","3.3","13","0","0","2","2","1","0.5","0","0","1","6.1","6.1","99.8%"
"39","Kene Nwangwu (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","6.0","6.0","0.6%"
"40","Kyren Williams (LAR)","11","35","3.2","9","0","0","3","3","25","8.3","0","0","1","6.0","6.0","96.0%"
"41","Dalvin Cook (NYJ)","22","42","1.9","6","0","0","4","5","14","3.5","0","0","1","5.6","5.6","23.0%"
"42","Antonio Gibson (WAS)","9","32","3.6","10","0","0","3","3","22","7.3","0","0","1","5.4","5.4","58.3%"
"43","Tyler Allgeier (ATL)","11","54","4.9","15","0","0","0","0","0","0","0","0","1","5.4","5.4","42.8%"
"44","Gary Brightwell (NYG)","5","31","6.2","15","0","0","2","2","18","9.0","0","0","1","4.9","4.9","0.3%"
"45","Christian McCaffrey (SF)","11","32","2.9","9","0","0","4","6","17","4.3","0","0","1","4.9","4.9","100.0%"
"46","Elijah Mitchell (SF)","7","35","5.0","12","0","0","2","2","8","4.0","0","0","1","4.3","4.3","14.3%"
"47","Trayveon Williams (CIN)","2","18","9.0","16","0","0","1","1","24","24.0","0","0","1","4.2","4.2","0.6%"
"48","Anthony McFarland Jr. (PIT)","6","30","5.0","14","0","0","2","2","11","5.5","0","0","1","4.1","4.1","0.1%"
"49","Cam Akers (MIN)","8","37","4.6","15","0","0","0","0","0","0","0","0","1","3.7","3.7","20.5%"
"50","Michael Carter (ARI)","6","21","3.5","6","0","0","2","2","15","7.5","0","0","1","3.6","3.6","1.4%"
"51","Ronald Jones II (FA)","4","12","3.0","5","0","0","1","1","22","22.0","0","0","1","3.4","3.4","0.3%"
"52","Zamir White (LV)","2","28","14.0","17","0","0","0","0","0","0","0","0","1","2.8","2.8","11.7%"
"53","Jerick McKinnon (KC)","0","0","0","0","0","0","3","6","26","8.7","0","0","1","2.6","2.6","39.0%"
"54","Jordan Mason (SF)","5","25","5.0","9","0","0","0","0","0","0","0","0","1","2.5","2.5","2.2%"
"55","Boston Scott (PHI)","3","24","8.0","19","0","0","0","0","0","0","0","0","1","2.4","2.4","0.3%"
"56","Jonathan Williams (WAS)","4","22","5.5","9","0","0","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"57","Kareem Hunt (CLE)","5","15","3.0","9","0","0","1","2","6","6.0","0","0","1","2.1","2.1","52.4%"
"58","Myles Gaskin (MIN)","6","17","2.8","10","0","0","1","1","4","4.0","0","0","1","2.1","2.1","0.1%"
"59","Joshua Kelley (LAC)","2","4","2.0","4","0","0","2","3","16","8.0","0","0","1","2.0","2.0","12.5%"
"60","Justin Jackson (FA)","4","4","1.0","11","0","0","1","2","15","15.0","0","0","1","1.9","1.9","0.0%"
"61","Dontrell Hilliard (FA)","2","16","8.0","11","0","0","3","3","3","1.0","0","0","1","1.9","1.9","0.0%"
"62","James Cook (BUF)","2","4","2.0","5","0","0","2","5","14","7.0","0","0","1","1.8","1.8","94.9%"
"63","Damien Harris (BUF)","5","16","3.2","7","0","0","0","0","0","0","0","0","1","1.6","1.6","7.1%"
"64","Dameon Pierce (HOU)","5","8","1.6","4","0","0","3","6","8","2.7","0","0","1","1.6","1.6","62.0%"
"65","Matt Breida (NYG)","2","6","3.0","5","0","0","1","1","9","9.0","0","0","1","1.5","1.5","2.7%"
"66","DeeJay Dallas (SEA)","1","2","2.0","2","0","0","2","2","13","6.5","0","0","1","1.5","1.5","0.8%"
"67","Ke'Shawn Vaughn (NE)","4","15","3.8","6","0","0","0","0","0","0","0","0","1","1.5","1.5","0.3%"
"68","Patrick Ricard (BAL)","0","0","0","0","0","0","2","3","14","7.0","0","0","1","1.4","1.4","0.1%"
"69","Caleb Huntley (FA)","1","12","12.0","12","0","0","1","1","1","1.0","0","0","1","1.3","1.3","0.0%"
"70","Marlon Mack (ARI)","2","7","3.5","7","0","0","1","1","5","5.0","0","0","1","1.2","1.2","0.0%"
"71","Snoop Conner (JAC)","3","11","3.7","5","0","0","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"72","Alexander Mattison (MIN)","3","11","3.7","8","0","0","0","0","0","0","0","0","1","1.1","1.1","81.8%"
"73","Alvin Kamara (NO)","7","13","1.9","6","0","0","6","7","37","6.2","0","2","1","1.0","1.0","98.8%"
"74","Mark Ingram II (FA)","4","10","2.5","5","0","0","0","1","0","0","0","0","1","1.0","1.0","0.0%"
"75","Corey Clement (ARI)","0","0","0","0","0","0","1","1","8","8.0","0","0","1","0.8","0.8","0.1%"
"76","Rex Burkhead (FA)","0","0","0","0","0","0","1","2","5","5.0","0","0","1","0.5","0.5","10.0%"
"77","Isaiah Spiller (LAC)","2","3","1.5","3","0","0","1","1","2","2.0","0","0","1","0.5","0.5","0.3%"
"78","Keaontay Ingram (KC)","2","5","2.5","4","0","0","0","0","0","0","0","0","1","0.5","0.5","1.8%"
"79","Derek Watt (FA)","1","4","4.0","4","0","0","1","1","1","1.0","0","0","1","0.5","0.5","0.0%"
"80","Justice Hill (BAL)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","10.8%"
"81","Nyheim Hines (BUF)","1","3","3.0","3","0","0","0","0","0","0","0","0","1","0.3","0.3","0.1%"
"82","Devine Ozigbo (FA)","0","0","0","0","0","0","1","1","3","3.0","0","0","1","0.3","0.3","0.0%"
"83","Travis Etienne Jr. (JAC)","2","3","1.5","3","0","0","0","0","0","0","0","0","1","0.3","0.3","99.9%"
"84","Zack Moss (IND)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","88.9%"
"85","Kenyan Drake (GB)","2","2","1.0","6","0","0","0","1","0","0","0","0","1","0.2","0.2","0.2%"
"86","Kyle Juszczyk (SF)","0","0","0","0","0","0","2","2","2","1.0","0","0","1","0.2","0.2","0.3%"
"87","Chris Myarick (FA)","0","0","0","0","0","0","1","1","23","23.0","0","0","1","0.0","0.0","0.0%"
"88","Khari Blasingame (CHI)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"89","Alec Ingold (MIA)","0","0","0","0","0","0","1","1","0","0.0","0","0","1","0.0","0.0","0.1%"
"90","Jakob Johnson (LV)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
